Investment_Type,Female,Male,Female_Male_Rank_Gap,Absolute_Rank_Gap
Debenture,5.2,6.08,-0.8799999999999999,0.8799999999999999
Equity,3.33,3.56,-0.22999999999999998,0.22999999999999998
Fixed Deposit,4.2,3.2,1.0,1.0
Gold,5.87,6.04,-0.16999999999999993,0.16999999999999993
Government Bond,4.33,4.84,-0.5099999999999998,0.5099999999999998
Mutual Fund,2.73,2.44,0.29000000000000004,0.29000000000000004
PPF,2.33,1.84,0.49,0.49
